no,UTM_X,UTM_Y,latitude,longitude,name,ชื่อโรงแรม (อังกฤษ),อำเภอ,สถานที่ตั้ง,subDistrict,district,phone,website
1,789780.0237,1936079.568,17.49218511,101.728764,ประกายเพชรโฮเต็ล,-,เมืองเลย,88/9 ถนนพิพัฒนมงคล,กุดป่อง,เมืองเลย,0 4281 5334,https://www.facebook.com/Prakaipetch.Hotel/
2,789589.3785,1941758.199,17.54348092,101.7277365,โรงแรม ณ เลย บูทีค รีสอร์ท,Na Loei Boutique Resort Hotel,เมืองเลย,399 หมู่ที่ 9 ,เมือง,เมืองเลย,0 4283 4399,https://m.facebook.com/naloei/?locale2=th_TH
3,789687.8989,1934142.852,17.47471077,101.7276364,โรงแรม เดอะ บลิส เลย ลิฟวิ่ง,THE BLISS LOEI LIVING,เมืองเลย,246/88 ซอยเจริญรัฐ 9 (อินคำดี) ถนนเจริญรัฐ,กุดป่อง,เมืองเลย,0 4281 2988,https://www.facebook.com/Theblissloeiliving-280270288837815
4,789279.7824,1938049.362,17.51003469,101.7243225,โรงแรม เดอะ เวียนนา เพลส โฮเทล,THE VIENNA PLACE HOTEL,เมืองเลย,19/28 ถนนเลย - เชียงคาน ,กุดป่อง,เมืองเลย,09 6935 1065 ,https://www.facebook.com/theviennaplacehotel
5,789615.2002,1935709.147,17.48886196,101.7271633,โรงแรม เอพี คอร์ท,A.P.Court Hotel,เมืองเลย,31/29 ถนนร่วมใจ ,กุดป่อง,เมืองเลย,0 4286 1627,https://m.facebook.com/A.P.CourtHotel/
6,789850.9109,1935604.717,17.4878886,101.729367,โรงแรมคิงส์,King Hotel Loei,เมืองเลย,11/8-12 ถนนชุมสาย ,กุดป่อง,เมืองเลย,06 1028 5574,https://www.facebook.com/LoeiKingHotel
7,789463.6252,1939191.709,17.52032493,101.7262065,โรงแรมศิริมาธานี,Kirimathani hotel,เมืองเลย,430 หมู่ที่ 8 ถนนเลย - เชียงคาน ,เมือง,เมืองเลย,0 4281 2673,https://m.facebook.com/kirimathanihotel
8,789687.0371,1935545.566,17.48737574,101.7278172,โรงแรมบ้านสบายเลย,Baan Sabai Loei,เมืองเลย,11/11 ถนนนกแก้ว ,กุดป่อง,เมืองเลย,0 4283 3112,https://www.facebook.com/Baansabailoei
9,789018.8447,1934560.842,17.47857107,101.7213981,โรงแรมเบนซ์รีสอร์ท,Benz resort,เมืองเลย,72/36-47 ถนนมลิวรรณ ,กุดป่อง,เมืองเลย,08 4458 8935,https://th-th.facebook.com/pages/category/Hotel-Resort/Benz-resort-410561855821063/
10,790178.6562,1933562.138,17.46940418,101.7321752,โรงแรมใบบุญแกรนด์,Baiboon Grand Hotel,เมืองเลย,111 หมู่ที่ 9 ถนนเจริญรัฐ ,นาอาน,เมืองเลย,0 4283 3533,https://th-th.facebook.com/pages/category/Lodge/ใบบุญแกรนด์-จังหวัดเลย-515549998483150/
