ที่,name,ประเภทร้านอาหาร 1,ประเภทร้านอาหาร 2,ประเภทร้านอาหาร 3,สินค้า บริการ,เปิด-ปิด,phone,โทรศัพท์ 2,โทรศัพท์ 3,website,FB,latitude,longtitude,UTM_X,UTM_Y,subDistrict,district
1,คำปลิว Coffee&หมูกะทะ,ร้านคาเฟ่,ร้านหมูกระทะ,,บุฟเฟ่ หมูกะทะ,ทุกวัน 16:30 - 22:00 น.,09 5648 1731, 09 5178 7493,0 4285 4087,https://www.wongnai.com/restaurants/355093ct-%E0%B8%84%E0%B8%B3%E0%B8%9B%E0%B8%A5%E0%B8%B4%E0%B8%A7-%E0%B8%9A%E0%B8%B8%E0%B8%9F%E0%B9%80%E0%B8%9F%E0%B9%88%E0%B8%95%E0%B9%8C,https://www.facebook.com/cumpiw,17.708529,101.7113,787581.2446,1960009.599,นาแขม,เมืองเลย
2,ก๋วยเตี๋ยวหมูหมักนายฮั่ง,ร้านก๋วยเตี๋ยว,,,ก๋วยเตี๋ยวหมูหมัก,ทุกวัน 07:00 - 16:00 น.,0 4281 1544,09 5192 4891,,https://www.wongnai.com/restaurants/477669Qn-%E0%B8%81%E0%B9%8B%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B8%99%E0%B8%B2%E0%B8%A2%E0%B8%AE%E0%B8%B1%E0%B9%88%E0%B8%87-%E0%B9%80%E0%B8%A5%E0%B8%A2,https://www.facebook.com/pages/ก๋วยเตี๋ยวหมูนายฮั่งLoei/154850781283132,17.488534,101.72619,789512.2926,1935671.35,กุดป่อง,เมืองเลย
3,สเต็กบางกอก,ร้านอาหารตามสั่ง,,,อาหารฝรั่ง กาแฟ,ทุกวัน 16:30 - 21:30 น. หยุดวันอาทิตย์,08 1830 5792,,,https://www.wongnai.com/restaurants/143497dp-steak-bangkok-%E0%B9%80%E0%B8%A5%E0%B8%A2,https://m.facebook.com/people/%E0%B8%AA%E0%B9%80%E0%B8%95%E0%B9%87%E0%B8%81%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%81%E0%B8%AD%E0%B8%81Loei/100042391846093/,17.4866655,101.7305231,789975.706,1935471.038,กุดป่อง,เมืองเลย
4,กาแฟรสเลิศ (โจ๊ก+อาหารเช้า),ร้านอาหารตามสั่ง,ร้านกาแฟ/ชา,,อาหารเช้า กาแฟ,ทุกวัน 05:00 - 20:00 น.,0 4281 1123,0 4281 5470,,https://www.wongnai.com/restaurants/159333jE-%E0%B8%A3%E0%B8%AA%E0%B9%80%E0%B8%A5%E0%B8%B4%E0%B8%A8,,17.489921,101.731836,790110.0511,1935833.533,กุดป่อง,เมืองเลย
5,ร้านอาหารเลย-ดานัง,ร้านอาหารเวียดนาม,,,อาหารเวียดนาม,ทุกวัน 10:00 - 17:00 น.,0 4283 0413,08 6218 3293,,https://www.wongnai.com/restaurants/93675IK-%E0%B9%80%E0%B8%A5%E0%B8%A2%E0%B8%94%E0%B8%B2%E0%B8%99%E0%B8%B1%E0%B8%87-1-%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B9%83%E0%B8%99%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87,https://www.facebook.com/loeidanang1/,17.489007,101.729726,789887.2878,1935729.108,กุดป่อง,เมืองเลย
6,กาแฟนัว,ร้านกาแฟ/ชา,เบเกอรี/เค้ก,,กาแฟ เบเกอรี่,ทุกวัน 09:00 - 18:00 น.,0 4281 0387,,,https://www.wongnai.com/restaurants/121930ZO-กาแฟนัว-เลย,https://www.facebook.com/coffeenualoei/,17.490082,101.704973,787255.297,1935810.627,เมือง,เมืองเลย
7,Saloon Loei,ร้านอาหาร,,,สเต็ก อาหาร ,ทุกวัน 12.00 - 24.00 น.,09 5661 9157,08 3352 8000,,,https://www.facebook.com/SaloonLoei/,17.4885685,101.7262609,789519.7741,1935675.278,กุดป่อง,เมืองเลย
8,ร้านอาหารล้านช้าง,ร้านอาหารตามสั่ง,,,"อาหาร, เครื่องดื่ม",ทุกวัน 12:00 - 22:30 น.,08 5465 1234,,,https://www.wongnai.com/restaurants/93466Pl-%E0%B8%A5%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%8A%E0%B9%89%E0%B8%B2%E0%B8%87,https://www.facebook.com/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%A5%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%8A%E0%B9%89%E0%B8%B2%E0%B8%87-1766477250310293/,17.491950,101.696888,786393.2559,1936005.293,เมือง,เมืองเลย
9,ข้าวเปียกลานชัย,ร้านอาหารเวียดนาม,,,ข้าวเปียก ของฝาก,ทุกวัน 06:00 - 18:00 น. หยุดวันอังคาร,09 3426 4665,,,https://www.wongnai.com/restaurants/153079Jq-%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B9%80%E0%B8%9B%E0%B8%B5%E0%B8%A2%E0%B8%81%E0%B8%A5%E0%B8%B2%E0%B8%99%E0%B8%8A%E0%B8%B1%E0%B8%A2,https://www.facebook.com/passpod,17.488243,101.72619,789512.7537,1935639.127,กุดป่อง,เมืองเลย
10,Coffee de Loei,ร้านกาแฟ/ชา,,,กาแฟ เบเกอรี่,ทุกวัน 09:00 - 19:00 น.,08 2928 0663,,,https://www.wongnai.com/restaurants/642930gc-coffee-de-loei-%E0%B9%80%E0%B8%A5%E0%B8%A2,https://www.facebook.com/Coffee-de-Loei-352599431486424/,17.489618,101.722354,789102.9537,1935785.556,กุดป่อง,เมืองเลย
